addr,name,size,factor_a,factor_b,unit,format,description
0x0F49,ldoTVsteu,2,0.010000,0.000000,%,6.2f,LDR Tastverhaeltnis Steuerung
0x0F60,PWG_FAHRERWUNSCH,2,0.010000,0.000000,%,6.2f,PWG Pedalwertgeber Poti 1
0x0F61,anmLMM,2,0.010000,0.000000,%,6.2f,LMM Luftmasse
0x0F62,LADEDRUCK,2,1.000000,0.000000,mbar,6.2f,LDF Ladedruck
0x0F63,anmADF,2,1.000000,0.000000,mbar,6.2f,ADF Atmosphaerendruck
0x0F65,UBATT,2,0.023620,0.000000,V,6.2f,UBT Batteriespannung
0x0F6C,dimDIG_0,2,1.000000,0.000000,-,6.2f,Auf logisch 0 erkannte Digitaleingaenge
0x0F6D,dimDIG_1,2,1.000000,0.000000,-,6.2f,Auf logisch 1 erkannte Digitaleingaenge
0x0F70,dimDIGprel,2,1.000000,0.000000,-,6.2f,Entprellte logische Zustaende der digitalen Eingaenge
0x0F7E,mrmF_GANG,2,1.000000,0.000000,-,6.2f,FGR aktuelle Gangstufe
0x0F7F,mrmSTATUS,2,1.000000,0.000000,-,6.2f,Status Motorbetriebsphase
0x0F80,mrmM_EAKT,2,0.010000,0.000000,mm^3,6.2f,M_E Aktuelle Einspritzmenge (ohne ARD)
0x0F82,mrmM_ESTAR,2,0.010000,0.000000,mm^3,6.2f,M_E resultierender Startmengen-Sollwert
0x0F83,mrmPWGfi,2,0.010000,0.000000,%,6.2f,PWG gefilterte Pedalwertgeber-Position
0x0F84,mrmM_EPWG,2,0.010000,0.000000,mm^3,6.2f,M_E Wunschmenge = f(PWG) aus Fahrverhaltenkennfeld
0x0F85,mrmM_EFGR,2,0.010000,0.000000,mm^3,6.2f,M_E Wunschmenge aus Fahrgeschwindigkeitsregelung
0x0F86,mrmM_EWUNF,2,0.010000,0.000000,mm^3,6.2f,M_E Fahrerwunschmenge aus PWG oder FGR
0x0F89,mrmM_DXMSR,2,0.010000,0.000000,mm^3,6.2f,M_E externer Momenteneingriff MSR
0x0F8A,mrmM_EBEGR,2,0.010000,0.000000,mm^3,6.2f,M_E resultierende Begrenzungsmenge
