Category,Bosch Name,Unit,DDE4 M57 (E39) ADR,DDE4 M57 (E39) FACT_A,DDE4 M57 (E39) FACT_B,DDE5 M57TU (E39/E46) ADR,DDE5 M57TU (E39/E46) FACT_A,DDE5 M57TU (E39/E46) FACT_B,DDE5 M57TU (E53) ADR,DDE5 M57TU (E53) FACT_A,DDE5 M57TU (E53) FACT_B,DDE5 M57TU (E60) ADR,DDE5 M57TU (E60) FACT_A,DDE5 M57TU (E60) FACT_B,DDE6 M57TU2 (E60/E90) ADR,DDE6 M57TU2 (E60/E90) FACT_A,DDE6 M57TU2 (E60/E90) FACT_B,DDE6.2 M57TU2TOP ADR,DDE6.2 M57TU2TOP FACT_A,DDE6.2 M57TU2TOP FACT_B,DDE5 M47TU (E46) ADR,DDE5 M47TU (E46) FACT_A,DDE5 M47TU (E46) FACT_B,DDE5 M47TU (E46/E83) ADR,DDE5 M47TU (E46/E83) FACT_A,DDE5 M47TU (E46/E83) FACT_B,DDE6 M47TU2 (E90) ADR,DDE6 M47TU2 (E90) FACT_A,DDE6 M47TU2 (E90) FACT_B
BOOST/AIR,AirSys_rLverh2_mp,-,,,,,,,,,,,,,0x1437,0.010000,0.000000,0x1437,0.010000,0.000000,,,,,,,,,
BOOST/AIR,AirSys_rRED11_mp,-,,,,,,,,,,,,,0x141E,0.012500,-409.593746,0x141E,0.012500,-409.593746,,,,,,,0x141E,0.012500,-409.593746
BOOST/AIR,AirSys_rRED12_mp,-,,,,,,,,,,,,,0x141F,0.012500,-409.593746,0x141F,0.012500,-409.593746,,,,,,,0x141F,0.012500,-409.593746
BOOST/AIR,AirSys_rRED13_mp,-,,,,,,,,,,,,,0x1420,0.012500,-409.593746,0x1420,0.012500,-409.593746,,,,,,,0x1420,0.012500,-409.593746
BOOST/AIR,AirSys_rRED21_mp,-,,,,,,,,,,,,,0x1421,0.012500,-409.593746,0x1421,0.012500,-409.593746,,,,,,,0x1421,0.012500,-409.593746
BOOST/AIR,AirSys_rRED22_mp,-,,,,,,,,,,,,,0x1422,0.012500,-409.593746,0x1422,0.012500,-409.593746,,,,,,,0x1422,0.012500,-409.593746
BOOST/AIR,AirSys_stateAirMassTst_mp,-,,,,,,,,,,,,,0x142E,1.000000,0.000000,0x142E,1.000000,0.000000,,,,,,,0x142E,1.000000,0.000000
BOOST/AIR,AirSys_substateAirMassTst_mp,-,,,,,,,,,,,,,0x142F,1.000000,0.000000,0x142F,1.000000,0.000000,,,,,,,0x142F,1.000000,0.000000
BOOST/AIR,BPSCD_pLin,hPa,,,,0x000B,0.000000,0,0x000B,10.002401,0.000000,0x000B,0.000000,0,0x000B,10.002442,0.000000,0x000B,10.002442,0.000000,0x000B,0.000000,0,0x000B,10.002401,0.000000,0x000B,10.002442,0.000000
BOOST/AIR,BPSCD_pOutVal,hPa,,,,0x003A,0.000000,0,0x009E,0.125002,0.000000,0x003A,0.000000,0,0x0091,0.125002,0.000000,0x0091,0.125002,0.000000,0x003A,0.000000,0,0x009E,0.125002,0.000000,0x0091,0.125002,0.000000
BOOST/AIR,BPSCD_uRawVal,mV,,,,0x0039,0.000000,0,0x009D,0.610958,0.000000,0x0039,0.000000,0,0x0092,0.610958,0.000000,0x0092,0.610958,0.000000,0x0039,0.000000,0,0x009D,0.610958,0.000000,0x0092,0.610958,0.000000
BOOST/AIR,anoU_LMM,--,0x0F34,0,0x00,,,,,,,,,,,,,,,,,,,,,,,,
EGR,DSM_ctRdyTstEGR_mp,-,,,,0x0092,0.000000,0,0x141A,1.000000,0.000000,0x0092,0.000000,0,0x14BA,1.000000,0.000000,0x14BA,1.000000,0.000000,0x0092,0.000000,0,0x141A,1.000000,0.000000,0x14BA,1.000000,0.000000
EGR,EGRCD_rOut,%,,,,0x007A,0.000000,0,0x007A,0.010000,0.000000,0x007A,0.000000,0,0x0099,0.010000,0.000000,0x0099,0.010000,0.000000,0x007A,0.000000,0,0x007A,0.010000,0.000000,0x0099,0.010000,0.000000
